,collection_id,image_class,image_id
0,1,imagenet,0
1,2,imagenet,0
2,3,imagenet,1
3,1,imagenet,2
4,2,imagenet,2
5,3,imagenet,3
6,1,imagenet,4
7,2,imagenet,4
8,1,imagenet,5
9,2,imagenet,5
10,1,imagenet,6
11,1,imagenet,7
12,2,imagenet,7
13,3,imagenet,8
14,3,imagenet,9
15,1,imagenet,10
16,2,imagenet,10
17,3,imagenet,11
18,3,imagenet,12
19,1,imagenet,13
20,2,imagenet,13
21,1,imagenet,15
22,2,imagenet,15
23,1,imagenet,16
24,2,imagenet,16
25,1,imagenet,17
26,2,imagenet,17
27,3,imagenet,18
28,1,imagenet,19
29,2,imagenet,19
30,3,imagenet,20
31,1,imagenet,21
32,2,imagenet,21
33,1,imagenet,22
34,1,imagenet,23
35,3,imagenet,24
36,1,imagenet,25
37,2,imagenet,25
38,1,imagenet,26
39,2,imagenet,26
40,1,imagenet,27
41,1,imagenet,28
42,1,imagenet,29
43,1,imagenet,30
44,1,imagenet,31
45,2,imagenet,31
46,1,imagenet,32
47,2,imagenet,32
48,1,imagenet,33
49,1,imagenet,34
50,1,imagenet,36
51,2,imagenet,36
52,1,imagenet,37
53,2,imagenet,37
54,1,imagenet,38
55,2,imagenet,38
56,1,imagenet,39
57,2,imagenet,39
58,3,imagenet,40
59,1,imagenet,41
60,2,imagenet,41
61,1,imagenet,42
62,2,imagenet,42
63,1,imagenet,43
64,2,imagenet,43
65,1,imagenet,44
66,2,imagenet,44
67,1,imagenet,45
68,2,imagenet,45
69,1,imagenet,46
70,2,imagenet,46
71,1,imagenet,47
72,2,imagenet,47
73,1,imagenet,48
74,2,imagenet,48
75,1,imagenet,49
76,2,imagenet,49
77,1,imagenet,50
78,2,imagenet,50
79,1,imagenet,51
80,2,imagenet,51
81,1,imagenet,52
82,2,imagenet,52
83,1,imagenet,53
84,2,imagenet,53
85,1,imagenet,54
86,2,imagenet,54
87,1,imagenet,55
88,2,imagenet,55
89,1,imagenet,56
90,2,imagenet,56
91,1,imagenet,57
92,2,imagenet,57
93,3,imagenet,58
94,1,imagenet,59
95,1,imagenet,60
96,1,imagenet,61
97,2,imagenet,61
98,1,imagenet,63
99,2,imagenet,63
100,1,imagenet,65
101,1,imagenet,66
102,2,imagenet,66
103,1,imagenet,67
104,2,imagenet,67
105,1,imagenet,68
106,2,imagenet,68
107,3,imagenet,69
108,1,imagenet,70
109,2,imagenet,70
110,1,imagenet,71
111,2,imagenet,71
112,1,imagenet,72
113,2,imagenet,72
114,1,imagenet,74
115,2,imagenet,74
116,1,imagenet,75
117,1,imagenet,76
118,2,imagenet,76
119,1,imagenet,77
120,2,imagenet,77
121,1,imagenet,78
122,2,imagenet,78
123,3,imagenet,79
124,1,imagenet,80
125,2,imagenet,80
126,1,imagenet,81
127,2,imagenet,81
128,1,imagenet,82
129,2,imagenet,82
130,1,imagenet,83
131,2,imagenet,83
132,1,imagenet,84
133,2,imagenet,84
134,1,imagenet,85
135,1,imagenet,86
136,2,imagenet,86
137,1,imagenet,88
138,2,imagenet,88
139,1,imagenet,89
140,3,imagenet,90
141,1,imagenet,91
142,2,imagenet,91
143,1,imagenet,92
144,2,imagenet,92
145,1,imagenet,93
146,2,imagenet,93
147,1,imagenet,94
148,2,imagenet,94
149,1,imagenet,95
150,2,imagenet,95
151,1,imagenet,96
152,2,imagenet,96
153,1,imagenet,97
154,2,imagenet,97
155,1,imagenet,98
156,2,imagenet,98
157,1,imagenet,99
158,2,imagenet,99
159,3,imagenet,100
160,1,imagenet,101
161,2,imagenet,101
162,1,imagenet,102
163,1,imagenet,103
164,4,imagenet,104
165,1,imagenet,105
166,2,imagenet,105
167,1,imagenet,106
168,2,imagenet,106
169,1,imagenet,107
170,2,imagenet,107
171,1,imagenet,108
172,2,imagenet,108
173,1,imagenet,109
174,2,imagenet,109
175,1,imagenet,110
176,2,imagenet,110
177,1,imagenet,111
178,2,imagenet,111
179,1,imagenet,112
180,2,imagenet,112
181,1,imagenet,113
182,2,imagenet,113
183,1,imagenet,114
184,2,imagenet,114
185,1,imagenet,115
186,2,imagenet,115
187,1,imagenet,116
188,1,imagenet,117
189,2,imagenet,117
190,1,imagenet,118
191,2,imagenet,118
192,3,imagenet,119
193,1,imagenet,120
194,1,imagenet,121
195,2,imagenet,121
196,1,imagenet,122
197,2,imagenet,122
198,3,imagenet,123
199,1,imagenet,124
200,2,imagenet,124
201,1,imagenet,125
202,2,imagenet,125
203,1,imagenet,126
204,2,imagenet,126
205,3,imagenet,127
206,4,imagenet,128
207,1,imagenet,129
208,2,imagenet,129
209,1,imagenet,130
210,2,imagenet,130
211,1,imagenet,131
212,2,imagenet,131
213,1,imagenet,132
214,2,imagenet,132
215,1,imagenet,133
216,2,imagenet,133
217,1,imagenet,134
218,1,imagenet,135
219,2,imagenet,135
220,1,imagenet,136
221,2,imagenet,136
222,3,imagenet,137
223,1,imagenet,138
224,2,imagenet,138
225,1,imagenet,139
226,2,imagenet,139
227,1,imagenet,140
228,2,imagenet,140
229,1,imagenet,141
230,2,imagenet,141
231,1,imagenet,142
232,2,imagenet,142
233,1,imagenet,143
234,1,imagenet,144
235,2,imagenet,144
236,1,imagenet,145
237,2,imagenet,145
238,1,imagenet,146
239,2,imagenet,146
240,1,imagenet,147
241,1,imagenet,148
242,2,imagenet,148
243,1,imagenet,149
244,2,imagenet,149
245,1,imagenet,150
246,2,imagenet,150
247,1,imagenet,151
248,1,imagenet,152
249,2,imagenet,152
250,1,imagenet,153
251,2,imagenet,153
252,1,imagenet,154
253,2,imagenet,154
254,1,imagenet,155
255,2,imagenet,155
256,1,imagenet,156
257,1,imagenet,157
258,2,imagenet,157
259,3,imagenet,158
260,3,imagenet,160
261,1,imagenet,162
262,2,imagenet,162
263,1,imagenet,163
264,2,imagenet,163
265,1,imagenet,165
266,3,imagenet,166
267,1,imagenet,167
268,2,imagenet,167
269,1,imagenet,168
270,2,imagenet,168
271,1,imagenet,169
272,2,imagenet,169
273,1,imagenet,170
274,1,imagenet,171
275,1,imagenet,172
276,2,imagenet,172
277,1,imagenet,173
278,2,imagenet,173
279,1,imagenet,174
280,2,imagenet,174
281,3,imagenet,175
282,3,imagenet,176
283,1,imagenet,177
284,2,imagenet,177
285,1,imagenet,178
286,2,imagenet,178
287,1,imagenet,180
288,1,imagenet,181
289,2,imagenet,181
290,1,imagenet,182
291,2,imagenet,182
292,4,imagenet,183
293,1,imagenet,184
294,2,imagenet,184
295,1,imagenet,185
296,2,imagenet,185
297,1,imagenet,186
298,2,imagenet,186
299,1,imagenet,187
300,2,imagenet,187
301,1,imagenet,188
302,2,imagenet,188
303,1,imagenet,189
304,1,imagenet,190
305,2,imagenet,190
306,1,imagenet,191
307,2,imagenet,191
308,1,imagenet,193
309,2,imagenet,193
310,1,imagenet,194
311,2,imagenet,194
312,1,imagenet,195
313,2,imagenet,195
314,1,imagenet,196
315,2,imagenet,196
316,1,imagenet,197
317,2,imagenet,197
318,1,imagenet,198
319,2,imagenet,198
320,1,imagenet,200
321,2,imagenet,200
322,1,imagenet,201
323,3,imagenet,202
324,1,imagenet,203
325,2,imagenet,203
326,1,imagenet,204
327,1,imagenet,205
328,2,imagenet,205
329,1,imagenet,206
330,1,imagenet,207
331,2,imagenet,207
332,1,imagenet,208
333,2,imagenet,208
334,1,imagenet,209
335,2,imagenet,209
336,1,imagenet,210
337,2,imagenet,210
338,1,imagenet,211
339,2,imagenet,211
340,1,imagenet,212
341,2,imagenet,212
342,1,imagenet,213
343,1,imagenet,215
344,2,imagenet,215
345,1,imagenet,216
346,2,imagenet,216
347,1,imagenet,217
348,2,imagenet,217
349,3,imagenet,218
350,1,imagenet,219
351,2,imagenet,219
352,1,imagenet,220
353,2,imagenet,220
354,1,imagenet,221
355,2,imagenet,221
356,1,imagenet,222
357,1,imagenet,223
358,1,imagenet,224
359,2,imagenet,224
360,1,imagenet,225
361,2,imagenet,225
362,1,imagenet,226
363,2,imagenet,226
364,1,imagenet,227
365,2,imagenet,227
366,1,imagenet,228
367,2,imagenet,228
368,1,imagenet,229
369,1,imagenet,230
370,1,imagenet,231
371,2,imagenet,231
372,1,imagenet,232
373,2,imagenet,232
374,1,imagenet,233
375,2,imagenet,233
376,3,imagenet,234
377,1,imagenet,235
378,2,imagenet,235
379,1,imagenet,236
380,3,imagenet,239
381,3,imagenet,241
382,1,imagenet,242
383,2,imagenet,242
384,1,imagenet,243
385,2,imagenet,243
386,1,imagenet,244
387,2,imagenet,244
388,1,imagenet,245
389,2,imagenet,245
390,1,imagenet,246
391,2,imagenet,246
392,1,imagenet,247
393,2,imagenet,247
394,1,imagenet,248
395,2,imagenet,248
396,1,imagenet,249
397,2,imagenet,249
398,1,imagenet,250
399,2,imagenet,250
400,1,imagenet,251
401,2,imagenet,251
402,1,imagenet,252
403,2,imagenet,252
404,1,imagenet,253
405,2,imagenet,253
406,1,imagenet,255
407,2,imagenet,255
408,1,imagenet,256
409,2,imagenet,256
410,1,imagenet,257
411,2,imagenet,257
412,1,imagenet,258
413,1,imagenet,259
414,1,imagenet,260
415,2,imagenet,260
416,3,imagenet,261
417,1,imagenet,262
418,2,imagenet,262
419,1,imagenet,263
420,2,imagenet,263
421,1,imagenet,264
